col0,country,country_code,geo_id_final,region,subnational_cases_7,subnational_cases_14,subnational_population,subnational_rate_14,national_cases_7,national_population,national_testing_rate,national_positivity_rate,subnational_testing_data,positivity_rate_combined,testing_rate_combined,colour,week
,Czechia,CZ,CZ07,Střední Morava,2111,4854,1215413,399.370419766779,14413,10693939,11259.9482753736,1.19696179488628,FALSE,1.19696179488628,11259.9482753736,Red,2021-17
,Czechia,CZ,CZ08,Moravskoslezsko,1937,4112,1203299,341.727201634839,14413,10693939,11259.9482753736,1.19696179488628,FALSE,1.19696179488628,11259.9482753736,Red,2021-17
,Denmark,DK,DK01,Hovedstaden,2631,4797,1835562,261.336854870606,5347,5822763,59081.333037254,0.15542854618062,TRUE,0.224735608934415,63779.3220822832,Red,2021-17
,Denmark,DK,DK02,Sjælland,587,1176,836738,140.545786136162,5347,5822763,59081.333037254,0.15542854618062,TRUE,0.127128922154651,55182.8648872168,Orange,2021-17
,Denmark,DK,DK03,Syddanmark,808,1412,1223348,115.42095953073,5347,5822763,59081.333037254,0.15542854618062,TRUE,0.109537191808028,60297.5604652151,Orange,2021-17
,Denmark,DK,DK04,Midtjylland,994,1964,1320678,148.711495156276,5347,5822763,59081.333037254,0.15542854618062,TRUE,0.134155723212719,56102.2444532278,Orange,2021-17
,Denmark,DK,DK05,Nordjylland,450,900,589755,152.605743062797,5347,5822763,59081.333037254,0.15542854618062,TRUE,0.136719106039339,55809.9549813058,Red,2021-17
,Denmark,DK,GL,Greenland,0,0,56025,0,5347,5822763,59081.333037254,0.15542854618062,FALSE,0.15542854618062,59081.333037254,Green,2021-17
,Estonia,EE,EE00,Eesti,2421,4870,1326819,367.043281713632,2565,1328976,2229.61136995702,8.65647463804799,FALSE,8.65647463804799,2229.61136995702,Red,2021-17
,Finland,FI,FI19,Länsi-Suomi,179,418,1379749,30.2953653164452,1408,5525292,2070.18923162794,1.23094139040425,FALSE,1.23094139040425,2070.18923162794,Orange,2021-17
,Finland,FI,FI1B,Helsinki-Uusimaa,686,1527,1671024,91.3810932697556,1408,5525292,2070.18923162794,1.23094139040425,FALSE,1.23094139040425,2070.18923162794,Orange,2021-17
,Finland,FI,FI1C,Etelä-Suomi,394,797,1152719,69.14087474918,1408,5525292,2070.18923162794,1.23094139040425,FALSE,1.23094139040425,2070.18923162794,Orange,2021-17
,Finland,FI,FI1D,Pohjois- ja Itä-Suomi,106,271,1284638,21.0954370024863,1408,5525292,2070.18923162794,1.23094139040425,FALSE,1.23094139040425,2070.18923162794,Green,2021-17
,Finland,FI,FI2,Åland,3,15,29789,50.3541575749438,1408,5525292,2070.18923162794,1.23094139040425,FALSE,1.23094139040425,2070.18923162794,Orange,2021-17
,France,FR,FR1,Ile-de-France,41079,105900,12174880,869.823768283548,154203,67320216,3209.58714689804,7.13671165052453,TRUE,8.74028715138001,3860.37480451553,Dark red,2021-17
,France,FR,FRB,Centre — Val de Loire,5052,12821,2576252,497.660943106497,154203,67320216,3209.58714689804,7.13671165052453,TRUE,7.65118357085523,2562.98685066523,Red,2021-17
,France,FR,FRC,Bourgogne-Franche-Comté,5405,13968,2811423,496.83025286483,154203,67320216,3209.58714689804,7.13671165052453,TRUE,7.10707288530065,2705.07141757039,Red,2021-17
,France,FR,FRD,Normandie,7455,18288,3330478,549.110367941178,154203,67320216,3209.58714689804,7.13671165052453,TRUE,6.93365823714878,3228.33539209687,Dark red,2021-17
,France,FR,FRE,Hauts-de-France,16078,40361,6003815,672.255890629541,154203,67320216,3209.58714689804,7.13671165052453,TRUE,7.52789365995721,3557.38809407019,Dark red,2021-17
,France,FR,FRF,Grand Est,10490,26283,5549586,473.602895783577,154203,67320216,3209.58714689804,7.13671165052453,TRUE,5.04647179941116,3745.6487745212,Red,2021-17
,France,FR,FRG,Pays de la Loire,6764,17884,3757600,475.942090696189,154203,67320216,3209.58714689804,7.13671165052453,TRUE,6.52832738152688,2757.34511390249,Red,2021-17
,France,FR,FRH,Bretagne,4234,11153,3318904,336.044670168224,154203,67320216,3209.58714689804,7.13671165052453,TRUE,5.13654175108275,2483.62109901341,Red,2021-17
,France,FR,FRI,Nouvelle-Aquitaine,7941,19892,5956978,333.927706296716,154203,67320216,3209.58714689804,7.13671165052453,TRUE,4.94698545993696,2694.68848130713,Red,2021-17
,France,FR,FRJ,Occitanie,10638,26475,5845102,452.943336147085,154203,67320216,3209.58714689804,7.13671165052453,TRUE,6.03437517726473,3016.02948930575,Red,2021-17
