country,country_code,year_week,age_group,new_cases,population,rate_14_day_per_100k,source
Austria,AT,2020-09,<15yr,0,1283060,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,<15yr,0,1283060,0,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,<15yr,10,1283060,0.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,<15yr,58,1283060,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,<15yr,156,1283060,16.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,<15yr,104,1283060,20.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,<15yr,54,1283060,12.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,<15yr,14,1283060,5.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,<15yr,21,1283060,2.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,<15yr,20,1283060,3.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,<15yr,6,1283060,2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,<15yr,26,1283060,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,<15yr,25,1283060,4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,<15yr,28,1283060,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,<15yr,33,1283060,4.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,<15yr,22,1283060,4.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,<15yr,32,1283060,4.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,<15yr,42,1283060,5.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,<15yr,109,1283060,11.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,<15yr,59,1283060,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,<15yr,95,1283060,12,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,<15yr,82,1283060,13.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,<15yr,75,1283060,12.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,<15yr,53,1283060,10,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,<15yr,77,1283060,10.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,<15yr,130,1283060,16.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,<15yr,177,1283060,23.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,<15yr,228,1283060,31.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,<15yr,386,1283060,47.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,<15yr,512,1283060,70,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,<15yr,470,1283060,76.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,<15yr,615,1283060,84.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,<15yr,841,1283060,113.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,<15yr,985,1283060,142.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,<15yr,1367,1283060,183.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,<15yr,1882,1283060,253.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,<15yr,2039,1283060,305.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,<15yr,2919,1283060,386.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,<15yr,2641,1283060,433.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,<15yr,1877,1283060,352.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,<15yr,1225,1283060,241.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,<15yr,1005,1283060,173.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,<15yr,959,1283060,153.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,<15yr,875,1283060,142.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,<15yr,805,1283060,130.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,<15yr,741,1283060,120.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,<15yr,521,1283060,98.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,<15yr,694,1283060,94.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,<15yr,760,1283060,113.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,<15yr,784,1283060,120.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,<15yr,967,1283060,136.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,<15yr,1557,1283060,196.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,<15yr,2092,1283060,284.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,<15yr,2468,1283060,355.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,<15yr,2726,1283060,404.8,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,<15yr,2996,1283060,446,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,<15yr,3129,1283060,477.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-13,<15yr,2444,1283060,434.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-14,<15yr,2055,1283060,350.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-15,<15yr,2558,1283060,359.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-16,<15yr,2368,1283060,383.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-17,<15yr,2238,1283060,359,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,15-24yr,4,955625,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,15-24yr,14,955625,1.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,15-24yr,103,955625,12.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,15-24yr,285,955625,40.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,15-24yr,435,955625,75.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,15-24yr,308,955625,77.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,15-24yr,178,955625,50.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,15-24yr,54,955625,24.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,15-24yr,38,955625,9.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,15-24yr,25,955625,6.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,15-24yr,36,955625,6.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,15-24yr,40,955625,8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,15-24yr,33,955625,7.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,15-24yr,23,955625,5.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,15-24yr,31,955625,5.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,15-24yr,26,955625,6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,15-24yr,50,955625,8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,15-24yr,55,955625,11,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,15-24yr,96,955625,15.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,15-24yr,112,955625,21.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,15-24yr,128,955625,25.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,15-24yr,203,955625,34.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,15-24yr,203,955625,42.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,15-24yr,198,955625,42,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,15-24yr,577,955625,81.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,15-24yr,662,955625,129.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,15-24yr,517,955625,123.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,15-24yr,551,955625,111.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,15-24yr,963,955625,158.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,15-24yr,1303,955625,237.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,15-24yr,919,955625,232.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,15-24yr,1077,955625,208.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,15-24yr,1320,955625,250.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,15-24yr,1649,955625,310.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,15-24yr,2961,955625,482.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,15-24yr,4931,955625,825.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,15-24yr,6651,955625,1212,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,15-24yr,6323,955625,1357.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,15-24yr,4790,955625,1162.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,15-24yr,3804,955625,899.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,15-24yr,2611,955625,671.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,15-24yr,2140,955625,497.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,15-24yr,1679,955625,399.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,15-24yr,1508,955625,333.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,15-24yr,1851,955625,351.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,15-24yr,1909,955625,393.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,15-24yr,1492,955625,355.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,15-24yr,1432,955625,306,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,15-24yr,1199,955625,275.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,15-24yr,1176,955625,248.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,15-24yr,1333,955625,262.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,15-24yr,1613,955625,308.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,15-24yr,1992,955625,377.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,15-24yr,2393,955625,458.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,15-24yr,2821,955625,545.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,15-24yr,3221,955625,632.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,15-24yr,3429,955625,695.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-13,15-24yr,3175,955625,691.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-14,15-24yr,2721,955625,617,"TESSy COVID-19, national weekly data"
Austria,AT,2021-15,15-24yr,2627,955625,559.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-16,15-24yr,2315,955625,517.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-17,15-24yr,2020,955625,453.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,25-49yr,5,3006228,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,25-49yr,53,3006228,1.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,25-49yr,411,3006228,15.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,25-49yr,1204,3006228,53.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,25-49yr,1900,3006228,103.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,25-49yr,1093,3006228,99.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,25-49yr,592,3006228,56.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,25-49yr,216,3006228,26.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,25-49yr,160,3006228,12.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,25-49yr,128,3006228,9.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,25-49yr,109,3006228,7.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,25-49yr,174,3006228,9.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,25-49yr,128,3006228,10,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,25-49yr,88,3006228,7.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,25-49yr,92,3006228,6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,25-49yr,64,3006228,5.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,25-49yr,87,3006228,5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,25-49yr,174,3006228,8.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,25-49yr,294,3006228,15.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,25-49yr,282,3006228,19.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,25-49yr,333,3006228,20.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,25-49yr,336,3006228,22.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,25-49yr,320,3006228,21.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,25-49yr,299,3006228,20.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,25-49yr,569,3006228,28.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,25-49yr,832,3006228,46.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,25-49yr,849,3006228,55.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,25-49yr,983,3006228,60.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,25-49yr,1710,3006228,89.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,25-49yr,2193,3006228,129.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,25-49yr,1969,3006228,138.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,25-49yr,2325,3006228,142.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,25-49yr,2868,3006228,172.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,25-49yr,3798,3006228,221.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,25-49yr,7205,3006228,366,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,25-49yr,12662,3006228,660.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,25-49yr,18168,3006228,1025.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,25-49yr,18986,3006228,1235.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,25-49yr,16268,3006228,1172.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,25-49yr,12387,3006228,953.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,25-49yr,8985,3006228,710.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,25-49yr,6960,3006228,530.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,25-49yr,5527,3006228,415.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,25-49yr,5116,3006228,354,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,25-49yr,5735,3006228,361,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,25-49yr,5481,3006228,373.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,25-49yr,4146,3006228,320.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,25-49yr,4032,3006228,272,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,25-49yr,3678,3006228,256.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,25-49yr,3617,3006228,242.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,25-49yr,3697,3006228,243.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,25-49yr,4574,3006228,275.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,25-49yr,5604,3006228,338.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,25-49yr,6421,3006228,400,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,25-49yr,7177,3006228,452.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,25-49yr,8348,3006228,516.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,25-49yr,8771,3006228,569.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-13,25-49yr,8470,3006228,573.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-14,25-49yr,7203,3006228,521.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-15,25-49yr,6675,3006228,461.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-16,25-49yr,6179,3006228,427.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-17,25-49yr,5210,3006228,378.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,50-64yr,2,1962524,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,50-64yr,22,1962524,1.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,50-64yr,235,1962524,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,50-64yr,933,1962524,59.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,50-64yr,1533,1962524,125.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,50-64yr,847,1962524,121.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,50-64yr,523,1962524,69.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,50-64yr,136,1962524,33.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,50-64yr,94,1962524,11.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,50-64yr,57,1962524,7.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,50-64yr,65,1962524,6.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,50-64yr,70,1962524,6.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,50-64yr,48,1962524,6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,50-64yr,42,1962524,4.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,50-64yr,46,1962524,4.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,50-64yr,31,1962524,3.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,50-64yr,50,1962524,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,50-64yr,45,1962524,4.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,50-64yr,106,1962524,7.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,50-64yr,89,1962524,9.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,50-64yr,159,1962524,12.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,50-64yr,153,1962524,15.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,50-64yr,131,1962524,14.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,50-64yr,127,1962524,13.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,50-64yr,152,1962524,14.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,50-64yr,211,1962524,18.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,50-64yr,285,1962524,25.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,50-64yr,385,1962524,34.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,50-64yr,645,1962524,52.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,50-64yr,828,1962524,75.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,50-64yr,815,1962524,83.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,50-64yr,1059,1962524,95.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,50-64yr,1481,1962524,129.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,50-64yr,2125,1962524,183.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,50-64yr,4011,1962524,312.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,50-64yr,7430,1962524,583,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,50-64yr,11006,1962524,939.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,50-64yr,11855,1962524,1164.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,50-64yr,9888,1962524,1107.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,50-64yr,7382,1962524,880,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,50-64yr,5464,1962524,654.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,50-64yr,4549,1962524,510.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,50-64yr,3340,1962524,402,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,50-64yr,3195,1962524,333,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,50-64yr,3500,1962524,341.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,50-64yr,3460,1962524,354.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,50-64yr,2530,1962524,305.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,50-64yr,2431,1962524,252.8,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,50-64yr,2248,1962524,238.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,50-64yr,2142,1962524,223.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,50-64yr,2169,1962524,219.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,50-64yr,2470,1962524,236.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,50-64yr,2914,1962524,274.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,50-64yr,3316,1962524,317.4,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,50-64yr,3743,1962524,359.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,50-64yr,4361,1962524,412.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,50-64yr,4633,1962524,458.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-13,50-64yr,4485,1962524,464.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-14,50-64yr,3716,1962524,417.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-15,50-64yr,3314,1962524,358.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-16,50-64yr,2951,1962524,319.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-17,50-64yr,2452,1962524,275.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-09,65-79yr,1,1219580,,"TESSy COVID-19, national weekly data"
Austria,AT,2020-10,65-79yr,16,1219580,1.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-11,65-79yr,95,1219580,9.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-12,65-79yr,402,1219580,40.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-13,65-79yr,731,1219580,92.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-14,65-79yr,429,1219580,95.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-15,65-79yr,233,1219580,54.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-16,65-79yr,110,1219580,28.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-17,65-79yr,62,1219580,14.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-18,65-79yr,38,1219580,8.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-19,65-79yr,12,1219580,4.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-20,65-79yr,17,1219580,2.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-21,65-79yr,19,1219580,3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-22,65-79yr,9,1219580,2.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-23,65-79yr,16,1219580,2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-24,65-79yr,15,1219580,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-25,65-79yr,16,1219580,2.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-26,65-79yr,13,1219580,2.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-27,65-79yr,24,1219580,3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-28,65-79yr,37,1219580,5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-29,65-79yr,46,1219580,6.8,"TESSy COVID-19, national weekly data"
Austria,AT,2020-30,65-79yr,69,1219580,9.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-31,65-79yr,48,1219580,9.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-32,65-79yr,28,1219580,6.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-33,65-79yr,63,1219580,7.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-34,65-79yr,60,1219580,10.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-35,65-79yr,82,1219580,11.6,"TESSy COVID-19, national weekly data"
Austria,AT,2020-36,65-79yr,102,1219580,15.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-37,65-79yr,191,1219580,24,"TESSy COVID-19, national weekly data"
Austria,AT,2020-38,65-79yr,256,1219580,36.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-39,65-79yr,335,1219580,48.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-40,65-79yr,348,1219580,56,"TESSy COVID-19, national weekly data"
Austria,AT,2020-41,65-79yr,580,1219580,76.1,"TESSy COVID-19, national weekly data"
Austria,AT,2020-42,65-79yr,877,1219580,119.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-43,65-79yr,1656,1219580,207.7,"TESSy COVID-19, national weekly data"
Austria,AT,2020-44,65-79yr,3031,1219580,384.3,"TESSy COVID-19, national weekly data"
Austria,AT,2020-45,65-79yr,4594,1219580,625.2,"TESSy COVID-19, national weekly data"
Austria,AT,2020-46,65-79yr,4954,1219580,782.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-47,65-79yr,4106,1219580,742.9,"TESSy COVID-19, national weekly data"
Austria,AT,2020-48,65-79yr,3046,1219580,586.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-49,65-79yr,2350,1219580,442.4,"TESSy COVID-19, national weekly data"
Austria,AT,2020-50,65-79yr,2089,1219580,364,"TESSy COVID-19, national weekly data"
Austria,AT,2020-51,65-79yr,1698,1219580,310.5,"TESSy COVID-19, national weekly data"
Austria,AT,2020-52,65-79yr,1436,1219580,257,"TESSy COVID-19, national weekly data"
Austria,AT,2020-53,65-79yr,1634,1219580,251.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-01,65-79yr,1562,1219580,262.1,"TESSy COVID-19, national weekly data"
Austria,AT,2021-02,65-79yr,1201,1219580,226.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-03,65-79yr,972,1219580,178.2,"TESSy COVID-19, national weekly data"
Austria,AT,2021-04,65-79yr,939,1219580,156.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-05,65-79yr,838,1219580,145.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-06,65-79yr,803,1219580,134.6,"TESSy COVID-19, national weekly data"
Austria,AT,2021-07,65-79yr,928,1219580,141.9,"TESSy COVID-19, national weekly data"
Austria,AT,2021-08,65-79yr,1066,1219580,163.5,"TESSy COVID-19, national weekly data"
Austria,AT,2021-09,65-79yr,1194,1219580,185.3,"TESSy COVID-19, national weekly data"
Austria,AT,2021-10,65-79yr,1279,1219580,202.8,"TESSy COVID-19, national weekly data"
Austria,AT,2021-11,65-79yr,1547,1219580,231.7,"TESSy COVID-19, national weekly data"
Austria,AT,2021-12,65-79yr,1754,1219580,270.7,"TESSy COVID-19, national weekly data"
